data,tag
Anticrético,-1
"MODERNOS departamentos en anticrético, de 3, 2, 1 dormitorios, La Plata esq. Rodríguez. 73150320, 5244242",-1
[1218-1193],-1
"EN ANTICRÉTICO departamento de 3 dormitorios en el 2do piso, Ref.: Teniente León No. 35 Cap. Ustariz y Menacho Ref.: 5259403, 72479068",-1
[1218-1249],-1
"DEPARTAMENTOS en anticrético, Velasco G. esq. 12 de Octubre. Ref.: 72322222, 5285985",-1
[1218-1259],-1
ANTICRÉTICO departamento amplio confortable. Ref.: 72455089,-1
[1218-1264],-1
►Locales Comerciales,1
